ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,4705.731015807813,-5452.489613576068,11167.326603488862,4705.731015807813,4705.731015807813,-1923.0417521806132,-1923.0417521806132,-1923.0417521806132,-72.04913558722704,-72.04913558722704,-72.04913558722704,-1850.9926165933864,-1850.9926165933864,-1850.9926165933864,0.0,0.0,0.0,2782.6892636271996
2016-01-02,4712.634678212477,-4798.604527141141,10977.600074956083,4712.634678212477,4712.634678212477,-1617.1920983823907,-1617.1920983823907,-1617.1920983823907,-2.1855020660656366,-2.1855020660656366,-2.1855020660656366,-1615.0065963163247,-1615.0065963163247,-1615.0065963163247,0.0,0.0,0.0,3095.4425798300867
2016-01-03,4719.538340617143,-4187.27337310741,11586.683275832578,4719.538340617143,4719.538340617143,-948.3659867508685,-948.3659867508685,-948.3659867508685,405.3105644584284,405.3105644584284,405.3105644584284,-1353.6765512092968,-1353.6765512092968,-1353.6765512092968,0.0,0.0,0.0,3771.1723538662745
2016-01-04,4726.442003021808,-3780.885853361623,12441.553108677927,4726.442003021808,4726.442003021808,-323.0097079925843,-323.0097079925843,-323.0097079925843,747.9107025030839,747.9107025030839,747.9107025030839,-1070.9204104956682,-1070.9204104956682,-1070.9204104956682,0.0,0.0,0.0,4403.4322950292235
2016-01-05,4733.345665426474,-4514.43549429094,12254.531368642016,4733.345665426474,4733.345665426474,-1052.7696318853266,-1052.7696318853266,-1052.7696318853266,-281.6544808158388,-281.6544808158388,-281.6544808158388,-771.1151510694876,-771.1151510694876,-771.1151510694876,0.0,0.0,0.0,3680.576033541147
2016-01-06,4740.249327831139,-4680.711199364867,11347.098233388379,4740.249327831139,4740.249327831139,-1313.3665559768986,-1313.3665559768986,-1313.3665559768986,-854.3532850799829,-854.3532850799829,-854.3532850799829,-459.0132708969155,-459.0132708969155,-459.0132708969155,0.0,0.0,0.0,3426.8827718542407
2016-01-08,4754.056652640469,-2998.2215472061444,13410.954951694077,4754.056652640469,4754.056652640469,109.70229984645056,109.70229984645056,109.70229984645056,-72.04913558744839,-72.04913558744839,-72.04913558744839,181.75143543389893,181.75143543389893,181.75143543389893,0.0,0.0,0.0,4863.75895248692
2016-01-09,4760.960315045135,-3113.484799400118,12997.045469439981,4760.960315045135,4760.960315045135,497.7049679803589,497.7049679803589,497.7049679803589,-2.1855020672624654,-2.1855020672624654,-2.1855020672624654,499.8904700476213,499.8904700476213,499.8904700476213,0.0,0.0,0.0,5258.665283025493
2016-01-12,4781.67130225913,-2291.8037755623395,14086.603133183695,4781.67130225913,4781.67130225913,1101.0237620042049,1101.0237620042049,1101.0237620042049,-281.65448081642467,-281.65448081642467,-281.65448081642467,1382.6782428206295,1382.6782428206295,1382.6782428206295,0.0,0.0,0.0,5882.695064263335
2016-01-14,4795.478627068462,-1573.6292940937053,14827.953985848355,4795.478627068462,4795.478627068462,1920.498777438148,1920.498777438148,1920.498777438148,57.021136585994086,57.021136585994086,57.021136585994086,1863.4776408521539,1863.4776408521539,1863.4776408521539,0.0,0.0,0.0,6715.97740450661
